Module,Course,Language,Platform,Level,Duration,Ratings,Reviews_Count,Title,Description,Published_At,Views,Organization,URLs,Images
Computer Sciences,Operating Systems,English,Udacity,Beginner,43,1.2,7626,Learn Operating Systems with Udemy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,12/17/2020,542813,Skill Builders,https://www.udacity.com/course/445,https://n5su3bze2ea.b-cdn.net/brands/8s639cxjitj.png?width=640
Computer Sciences,Operating Systems,English,Coursera,Beginner,29,1.7,6629,Learn Operating Systems with Khan Academy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,8/12/2020,227342,Skill Builders,https://www.udemy.com/course/287,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/media/coursera-rebrand-logo-square.png
Computer Sciences,Operating Systems,English,Udacity,Advanced,77,2.3,1087,Learn Operating Systems with Udacity,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,10/27/2021,395284,NextGen Learning,https://www.khanacademy.com/course/813,https://n5su3bze2ea.b-cdn.net/brands/8s639cxjitj.png?width=640
Computer Sciences,Operating Systems,English,Udacity,Intermediate,5,2.8,9976,Learn Operating Systems with Khan Academy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,2/8/2020,899414,Skill Builders,https://www.udemy.com/course/525,https://n5su3bze2ea.b-cdn.net/brands/8s639cxjitj.png?width=640
Computer Sciences,Operating Systems,English,Udacity,Advanced,19,2.2,1943,Learn Operating Systems with Coursera,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,5/2/2020,141242,Pro Tutors,https://www.coursera.com/course/751,https://n5su3bze2ea.b-cdn.net/brands/8s639cxjitj.png?width=640
Computer Sciences,Operating Systems,English,Coursera,Beginner,90,3.9,3037,Learn Operating Systems with Khan Academy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,6/6/2023,293283,Pro Tutors,https://www.udacity.com/course/906,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/media/coursera-rebrand-logo-square.png
Computer Sciences,Operating Systems,English,Khan Academy,Intermediate,7,2.4,6595,Learn Operating Systems with Khan Academy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,2/14/2022,479626,Pro Tutors,https://www.udacity.com/course/243,https://images.seeklogo.com/logo-png/39/1/khan-academy-logo-png_seeklogo-394590.png
Computer Sciences,Operating Systems,English,Udacity,Intermediate,45,3,2302,Learn Operating Systems with Coursera,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,4/7/2022,787350,NextGen Learning,https://www.coursera.com/course/493,https://n5su3bze2ea.b-cdn.net/brands/8s639cxjitj.png?width=640
Computer Sciences,Operating Systems,English,Coursera,Beginner,52,5,5014,Learn Operating Systems with Khan Academy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,6/9/2020,244401,Global Educators,https://www.khanacademy.com/course/832,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/media/coursera-rebrand-logo-square.png
Computer Sciences,Operating Systems,English,Khan Academy,Advanced,70,3.3,1387,Learn Operating Systems with Coursera,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,12/1/2020,575497,NextGen Learning,https://www.udacity.com/course/28,https://images.seeklogo.com/logo-png/39/1/khan-academy-logo-png_seeklogo-394590.png
