Module,Course,Language,Platform,Level,Duration,Ratings,Reviews_Count,Title,Description,Published_At,Views,Organization,URLs,Images
Computer Sciences,Operating Systems,English,Udacity,Beginner,43,1.2,7626,Learn Operating Systems with Udemy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,2020-12-17,542813,Skill Builders,https://www.udacity.com/course/445,https://imagehost.com/984.jpg
Computer Sciences,Operating Systems,English,Coursera,Beginner,29,1.7,6629,Learn Operating Systems with Khan Academy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,2020-08-12,227342,Skill Builders,https://www.udemy.com/course/287,https://imagehost.com/573.jpg
Computer Sciences,Operating Systems,English,Udacity,Advanced,77,2.3,1087,Learn Operating Systems with Udacity,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,2021-10-27,395284,NextGen Learning,https://www.khanacademy.com/course/813,https://imagehost.com/92.jpg
Computer Sciences,Operating Systems,English,Udacity,Intermediate,5,2.8,9976,Learn Operating Systems with Khan Academy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,2020-02-08,899414,Skill Builders,https://www.udemy.com/course/525,https://imagehost.com/658.jpg
Computer Sciences,Operating Systems,English,Udacity,Advanced,19,2.2,1943,Learn Operating Systems with Coursera,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,2020-05-02,141242,Pro Tutors,https://www.coursera.com/course/751,https://imagehost.com/988.jpg
Computer Sciences,Operating Systems,English,Coursera,Beginner,90,3.9,3037,Learn Operating Systems with Khan Academy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,2023-06-06,293283,Pro Tutors,https://www.udacity.com/course/906,https://imagehost.com/276.jpg
Computer Sciences,Operating Systems,English,Khan Academy,Intermediate,7,2.4,6595,Learn Operating Systems with Khan Academy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,2022-02-14,479626,Pro Tutors,https://www.udacity.com/course/243,https://imagehost.com/586.jpg
Computer Sciences,Operating Systems,English,Udacity,Intermediate,45,3.0,2302,Learn Operating Systems with Coursera,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,2022-04-07,787350,NextGen Learning,https://www.coursera.com/course/493,https://imagehost.com/415.jpg
Computer Sciences,Operating Systems,English,Coursera,Beginner,52,5.0,5014,Learn Operating Systems with Khan Academy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,2020-06-09,244401,Global Educators,https://www.khanacademy.com/course/832,https://imagehost.com/414.jpg
Computer Sciences,Operating Systems,English,Khan Academy,Advanced,70,3.3,1387,Learn Operating Systems with Coursera,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,2020-12-01,575497,NextGen Learning,https://www.udacity.com/course/28,https://imagehost.com/912.jpg
Computer Sciences,Operating Systems,English,Khan Academy,Intermediate,17,1.6,7982,Learn Operating Systems with Udemy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,2021-10-27,103955,Skill Builders,https://www.udacity.com/course/989,https://imagehost.com/250.jpg
Computer Sciences,Operating Systems,English,Udacity,Advanced,45,1.3,7804,Learn Operating Systems with Udacity,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,2020-08-26,15477,Skill Builders,https://www.udacity.com/course/186,https://imagehost.com/925.jpg
Computer Sciences,Operating Systems,English,Coursera,Beginner,24,1.6,9130,Learn Operating Systems with Coursera,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,2020-09-07,448461,Global Educators,https://www.coursera.com/course/61,https://imagehost.com/561.jpg
Computer Sciences,Operating Systems,English,Khan Academy,Beginner,10,1.8,2412,Learn Operating Systems with Coursera,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,2020-05-14,71542,NextGen Learning,https://www.khanacademy.com/course/784,https://imagehost.com/106.jpg
Computer Sciences,Operating Systems,English,Khan Academy,Advanced,29,3.2,1383,Learn Operating Systems with Coursera,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,2022-10-30,171603,NextGen Learning,https://www.khanacademy.com/course/558,https://imagehost.com/195.jpg
Computer Sciences,Operating Systems,English,Udacity,Beginner,48,4.5,3765,Learn Operating Systems with Khan Academy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,2020-07-18,131468,NextGen Learning,https://www.khanacademy.com/course/7,https://imagehost.com/954.jpg
Computer Sciences,Operating Systems,English,Udemy,Beginner,50,4.9,3564,Learn Operating Systems with Khan Academy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,2020-01-06,576782,Global Educators,https://www.udemy.com/course/340,https://imagehost.com/713.jpg
Computer Sciences,Operating Systems,English,Khan Academy,Beginner,1,2.6,930,Learn Operating Systems with Coursera,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,2022-01-02,234647,Global Educators,https://www.khanacademy.com/course/41,https://imagehost.com/414.jpg
